S0,S101,S110,S111,S102,S103,S104,S105,S200,S201,S300,S600,S601,S602,S604,S701,S702,S704,S800,S801,S802,S900,S1100,S1400,S1500,S1501,S1502,S1001,S113,S114,S106,S107,S202
42683.1307098148,2082.4,2099.48291015625,83,0,18.0792579650879,0.0767593383789063,1.07437288761139,33.3084777832031,36.439,144.393201499639,1.19628594698111,1.19628594698111,1.126574687,1.12415675640106,1.333825,1.539195,0.792075000000001,30.2994039535522,30.2994039535522,,31.3294,,,,,,32.3959564942508,,,125.961399629761,0.476336402869121,3.07196493530273
42683.1308441319,2082.8,2099.48291015625,83,0,17.6724224090576,0.0767593383789063,1.05732691287994,32.863459777832,36.439,145.296597091171,1.19628202838056,1.19628202838056,1.126574687,1.12419133326587,1.34179411764706,1.56430882352941,0.7645,30.3123938242594,30.3123938242594,,31.3323529411764,,,,,,32.3963184165353,,,126.193886935317,0.475458847152827,3.3371694688984
42683.1309830671,2083.2,2099.48291015625,83,0,17.2579288482666,0,1.04009687900543,32.5004379272461,36.439,143.908810110931,1.19627834807604,1.19627834807604,1.126574687,1.12419460140742,1.35055769230769,1.58901442307692,0.729278846153846,30.3236496998714,30.3236496998714,,31.3421153846154,,,,,,32.4193792455132,,,124.308560246553,0.482669897237942,3.74018161714994
42683.1311037847,2083.6,2099.48291015625,83,0,16.8741397857666,0.0767593383789063,1.04300057888031,31.8924201965332,36.439,140.895169579603,1.19627429107825,1.19627429107825,1.126574687,1.12426735007245,1.36392391304348,1.60147282608696,0.719146739130435,30.331799051036,30.331799051036,,31.3382608695652,,,,,,32.3751621335531,,,132.471720926681,0.452926855484939,4.27145300624682
42683.1312192477,2084,2099.48291015625,83,0,16.4735546112061,0.0732772871851921,1.0593603849411,31.0663887023926,36.439,140.296085626145,1.19627071089817,1.19627071089817,1.126574687,1.12453760613095,1.3730625,1.59710795454545,0.731357954545455,30.338002464988,30.338002464988,,31.3397727272727,,,,,,32.3807912230496,,,144.490775994852,0.415251420631431,4.88393907581676
42683.1316247106,2084.4,2099.48291015625,83,0,16.0778503417969,0,1.1174703836441,35.5696563720703,36.439,136.823439245686,1.19626594324649,1.19626594324649,1.126574687,1.12537773243793,1.38191883116883,1.57727922077922,0.748165584415585,30.3473104501699,30.3473104501699,,31.3492207792207,,,,,,32.4025643099046,,,40.6633936886593,1.4755285911302,2.39571827935553
42683.1317659491,2084.8,2099.48291015625,83,0,15.674843788147,0.0732772871851921,1.13586127758026,33.3609672546387,36.439,124.733541641873,1.19626109361649,1.19626109361649,1.126574687,1.12584028641383,1.39022685185185,1.55859259259259,0.764245370370371,30.3527283138699,30.3527283138699,,31.3492592592592,,,,,,32.3909540789344,,,118.918295405223,0.504548099983652,2.04758233416522
42683.1319137384,2085.2,2099.48291015625,83,0,15.2791404724121,0,1.15433585643768,32.5719696044922,36.439,130.364189071992,1.19625871056602,1.19625871056602,1.126574687,1.12588893941471,1.39004017857143,1.55219196428571,0.767776785714285,30.3737013339996,30.3737013339996,,31.3603571428571,,,,,,32.4097906358151,,,111.589003811963,0.537687388096996,3.61992062813895
42683.1320735185,2085.6,2099.48291015625,83,0,14.8614454269409,0,1.16664040088654,32.448705291748,36.439,135.27495516138,1.19625502650605,1.19625502650605,1.126574687,1.12582830190659,1.38977083333333,1.54781666666667,0.77135,30.3868554115295,30.3868554115295,,31.3645,,,,,,32.3880698318065,,,108.925755068901,0.550833913999928,3.92941659037272
42683.1322216782,2086,2099.48291015625,83,0,14.4730854034424,0,1.14635121822357,32.6630065917969,36.439,136.427781382932,1.196250422217,1.196250422217,1.126574687,1.12565479153081,1.39182456140351,1.54298245614035,0.777346491228071,30.3934415181478,30.3934415181478,,31.3673684210526,,,,,,32.3973960789842,,,109.172716425512,0.549587863749254,3.88304287505568
42683.1323605208,2086.4,2099.48291015625,83,0,14.0773820877075,0,1.12605392932892,32.8190849304199,36.439,138.187772049915,1.19624641443199,1.19624641443199,1.126574687,1.12542558616062,1.39250943396226,1.53932547169811,0.779193396226415,30.3969237129643,30.3969237129643,,31.3684905660377,,,,,,32.4059850049049,,,118.749587073032,0.505264914842182,3.59644068937482
42683.1324878356,2086.8,2099.48291015625,83,0,13.6743745803833,0.0732772871851921,1.10845196247101,32.5626342773437,36.439,139.668997800686,1.19624177577595,1.19624177577595,1.126574687,1.125224635005,1.39134375,1.53571875,0.784671875000001,30.3937921126684,30.3937921126684,,31.370625,,,,,,32.3835448560085,,,131.923635682354,0.454808569288282,3.73106959406535
42683.1326175463,2087.2,2099.48291015625,83,0,13.2786712646484,0,1.09100425243378,32.5474685668945,36.439,141.663286780621,1.19623919972757,1.19623919972757,1.126574687,1.12505920322574,1.38832653061224,1.53093367346939,0.78640306122449,30.405178848578,30.405178848578,,31.3789795918367,,,,,,32.3797264455359,,,127.141962958189,0.471913431285715,4.04253778138453
42683.1327581481,2087.6,2099.48291015625,83,0,12.8756246566772,0,1.07312715053558,32.3400825500488,36.439,143.007177857772,1.1962366613652,1.1962366613652,1.126574687,1.12486070282054,1.38983490566038,1.52490566037736,0.790551886792453,30.4092840158714,30.4092840158714,,31.3869811320755,,,,,,32.4015952345208,,,119.4270684997,0.502398666849558,3.9871277753722
